Comunidades autónomas;Tipología penal;Periodos:;Total
CANARIAS;6. Robos con violencia e intimidación;enero-septiembre 2025;1.467
CANARIAS;6. Robos con violencia e intimidación;Variación % 2025/2024;12,8
CANARIAS;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-septiembre 2024;2.284
CANARIAS;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-septiembre 2025;2.215
CANARIAS;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;Variación % 2025/2024;-3,0
CANARIAS;7.1.-Robos con fuerza en domicilios;enero-septiembre 2024;1.401
CANARIAS;7.1.-Robos con fuerza en domicilios;enero-septiembre 2025;1.265
CANARIAS;7.1.-Robos con fuerza en domicilios;Variación % 2025/2024;-9,7
CANARIAS;8. Hurtos;enero-septiembre 2024;21.154
CANARIAS;8. Hurtos;enero-septiembre 2025;21.889
CANARIAS;8. Hurtos;Variación % 2025/2024;3,5
CANARIAS;9. Sustracciones de vehículos;enero-septiembre 2024;1.209
CANARIAS;9. Sustracciones de vehículos;enero-septiembre 2025;1.066
CANARIAS;9. Sustracciones de vehículos;Variación % 2025/2024;-11,8
CANARIAS;10. Tráfico de drogas;enero-septiembre 2024;566
CANARIAS;10. Tráfico de drogas;enero-septiembre 2025;620
CANARIAS;10. Tráfico de drogas;Variación % 2025/2024;9,5
CANARIAS;11. Resto de criminalidad convencional;enero-septiembre 2024;39.393
CANARIAS;11. Resto de criminalidad convencional;enero-septiembre 2025;40.749
CANARIAS;11. Resto de criminalidad convencional;Variación % 2025/2024;3,4
CANARIAS;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-septiembre 2024;12.774
CANARIAS;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-septiembre 2025;13.324
CANARIAS;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);Variación % 2025/2024;4,3
CANARIAS;12.-Estafas informáticas;enero-septiembre 2024;11.277
CANARIAS;12.-Estafas informáticas;enero-septiembre 2025;11.495
CANARIAS;12.-Estafas informáticas;Variación % 2025/2024;1,9
CANARIAS;13.-Otros ciberdelitos;enero-septiembre 2024;1.497
CANARIAS;13.-Otros ciberdelitos;enero-septiembre 2025;1.829
CANARIAS;13.-Otros ciberdelitos;Variación % 2025/2024;22,2
CANARIAS;III. TOTAL INFRACCIONES PENALES;enero-septiembre 2024;80.707
CANARIAS;III. TOTAL INFRACCIONES PENALES;enero-septiembre 2025;83.358
CANARIAS;III. TOTAL INFRACCIONES PENALES;Variación % 2025/2024;3,3
CANTABRIA;I. CRIMINALIDAD CONVENCIONAL;enero-septiembre 2024;14.028
CANTABRIA;I. CRIMINALIDAD CONVENCIONAL;enero-septiembre 2025;14.104
CANTABRIA;I. CRIMINALIDAD CONVENCIONAL;Variación % 2025/2024;0,5
CANTABRIA;1. Homicidios dolosos y asesinatos consumados;enero-septiembre 2024;3
CANTABRIA;1. Homicidios dolosos y asesinatos consumados;enero-septiembre 2025;0
CANTABRIA;1. Homicidios dolosos y asesinatos consumados;Variación % 2025/2024;-100,0
CANTABRIA;2. Homicidios dolosos y asesinatos en grado tentativa;enero-septiembre 2024;11
CANTABRIA;2. Homicidios dolosos y asesinatos en grado tentativa;enero-septiembre 2025;5
CANTABRIA;2. Homicidios dolosos y asesinatos en grado tentativa;Variación % 2025/2024;-54,5
CANTABRIA;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-septiembre 2024;296
CANTABRIA;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-septiembre 2025;315
CANTABRIA;3. Delitos graves y menos graves de lesiones y riña tumultuaria;Variación % 2025/2024;6,4
CANTABRIA;4. Secuestro;enero-septiembre 2024;1
CANTABRIA;4. Secuestro;enero-septiembre 2025;1
CANTABRIA;4. Secuestro;Variación % 2025/2024;0,0
CANTABRIA;5. Delitos contra la libertad sexual;enero-septiembre 2024;124
CANTABRIA;5. Delitos contra la libertad sexual;enero-septiembre 2025;138
CANTABRIA;5. Delitos contra la libertad sexual;Variación % 2025/2024;11,3
CANTABRIA;5.1.-Agresión sexual con penetración;enero-septiembre 2024;33
CANTABRIA;5.1.-Agresión sexual con penetración;enero-septiembre 2025;34
CANTABRIA;5.1.-Agresión sexual con penetración;Variación % 2025/2024;3,0
CANTABRIA;5.2.-Resto de delitos contra la libertad sexual;enero-septiembre 2024;91
CANTABRIA;5.2.-Resto de delitos contra la libertad sexual;enero-septiembre 2025;104
CANTABRIA;5.2.-Resto de delitos contra la libertad sexual;Variación % 2025/2024;14,3
CANTABRIA;6. Robos con violencia e intimidación;enero-septiembre 2024;172
CANTABRIA;6. Robos con violencia e intimidación;enero-septiembre 2025;172
CANTABRIA;6. Robos con violencia e intimidación;Variación % 2025/2024;0,0
CANTABRIA;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-septiembre 2024;1.162
CANTABRIA;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-septiembre 2025;986
CANTABRIA;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;Variación % 2025/2024;-15,1
CANTABRIA;7.1.-Robos con fuerza en domicilios;enero-septiembre 2024;805
CANTABRIA;7.1.-Robos con fuerza en domicilios;enero-septiembre 2025;715
CANTABRIA;7.1.-Robos con fuerza en domicilios;Variación % 2025/2024;-11,2
CANTABRIA;8. Hurtos;enero-septiembre 2024;3.648
CANTABRIA;8. Hurtos;enero-septiembre 2025;3.908
CANTABRIA;8. Hurtos;Variación % 2025/2024;7,1
CANTABRIA;9. Sustracciones de vehículos;enero-septiembre 2024;128
CANTABRIA;9. Sustracciones de vehículos;enero-septiembre 2025;107
CANTABRIA;9. Sustracciones de vehículos;Variación % 2025/2024;-16,4
CANTABRIA;10. Tráfico de drogas;enero-septiembre 2024;61
CANTABRIA;10. Tráfico de drogas;enero-septiembre 2025;60
CANTABRIA;10. Tráfico de drogas;Variación % 2025/2024;-1,6
CANTABRIA;11. Resto de criminalidad convencional;enero-septiembre 2024;8.422
CANTABRIA;11. Resto de criminalidad convencional;enero-septiembre 2025;8.412
CANTABRIA;11. Resto de criminalidad convencional;Variación % 2025/2024;-0,1
CANTABRIA;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-septiembre 2024;4.747
CANTABRIA;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-septiembre 2025;5.341
CANTABRIA;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);Variación % 2025/2024;12,5
CANTABRIA;12.-Estafas informáticas;enero-septiembre 2024;4.185
CANTABRIA;12.-Estafas informáticas;enero-septiembre 2025;4.711
CANTABRIA;12.-Estafas informáticas;Variación % 2025/2024;12,6
CANTABRIA;13.-Otros ciberdelitos;enero-septiembre 2024;562
CANTABRIA;13.-Otros ciberdelitos;enero-septiembre 2025;630
CANTABRIA;13.-Otros ciberdelitos;Variación % 2025/2024;12,1
CANTABRIA;III. TOTAL INFRACCIONES PENALES;enero-septiembre 2024;18.775
CANTABRIA;III. TOTAL INFRACCIONES PENALES;enero-septiembre 2025;19.445
CANTABRIA;III. TOTAL INFRACCIONES PENALES;Variación % 2025/2024;3,6
CASTILLA Y LEÓN;I. CRIMINALIDAD CONVENCIONAL;enero-septiembre 2024;49.509
CASTILLA Y LEÓN;I. CRIMINALIDAD CONVENCIONAL;enero-septiembre 2025;50.894
CASTILLA Y LEÓN;I. CRIMINALIDAD CONVENCIONAL;Variación % 2025/2024;2,8
CASTILLA Y LEÓN;1. Homicidios dolosos y asesinatos consumados;enero-septiembre 2024;7
CASTILLA Y LEÓN;1. Homicidios dolosos y asesinatos consumados;enero-septiembre 2025;12
CASTILLA Y LEÓN;1. Homicidios dolosos y asesinatos consumados;Variación % 2025/2024;71,4
CASTILLA Y LEÓN;2. Homicidios dolosos y asesinatos en grado tentativa;enero-septiembre 2024;38
CASTILLA Y LEÓN;2. Homicidios dolosos y asesinatos en grado tentativa;enero-septiembre 2025;30
CASTILLA Y LEÓN;2. Homicidios dolosos y asesinatos en grado tentativa;Variación % 2025/2024;-21,1
CASTILLA Y LEÓN;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-septiembre 2024;823
CASTILLA Y LEÓN;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-septiembre 2025;900
CASTILLA Y LEÓN;3. Delitos graves y menos graves de lesiones y riña tumultuaria;Variación % 2025/2024;9,4
CASTILLA Y LEÓN;4. Secuestro;enero-septiembre 2024;2
CASTILLA Y LEÓN;4. Secuestro;enero-septiembre 2025;1
CASTILLA Y LEÓN;4. Secuestro;Variación % 2025/2024;-50,0
CASTILLA Y LEÓN;5. Delitos contra la libertad sexual;enero-septiembre 2024;508
CASTILLA Y LEÓN;5. Delitos contra la libertad sexual;enero-septiembre 2025;532
CASTILLA Y LEÓN;5. Delitos contra la libertad sexual;Variación % 2025/2024;4,7
CASTILLA Y LEÓN;5.1.-Agresión sexual con penetración;enero-septiembre 2024;104
CASTILLA Y LEÓN;5.1.-Agresión sexual con penetración;enero-septiembre 2025;119
CASTILLA Y LEÓN;5.1.-Agresión sexual con penetración;Variación % 2025/2024;14,4
CASTILLA Y LEÓN;5.2.-Resto de delitos contra la libertad sexual;enero-septiembre 2024;404
CASTILLA Y LEÓN;5.2.-Resto de delitos contra la libertad sexual;enero-septiembre 2025;413
CASTILLA Y LEÓN;5.2.-Resto de delitos contra la libertad sexual;Variación % 2025/2024;2,2
CASTILLA Y LEÓN;6. Robos con violencia e intimidación;enero-septiembre 2024;578
CASTILLA Y LEÓN;6. Robos con violencia e intimidación;enero-septiembre 2025;537
CASTILLA Y LEÓN;6. Robos con violencia e intimidación;Variación % 2025/2024;-7,1
CASTILLA Y LEÓN;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-septiembre 2024;3.199
CASTILLA Y LEÓN;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-septiembre 2025;2.977
CASTILLA Y LEÓN;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;Variación % 2025/2024;-6,9
CASTILLA Y LEÓN;7.1.-Robos con fuerza en domicilios;enero-septiembre 2024;2.261
CASTILLA Y LEÓN;7.1.-Robos con fuerza en domicilios;enero-septiembre 2025;2.143
CASTILLA Y LEÓN;7.1.-Robos con fuerza en domicilios;Variación % 2025/2024;-5,2
CASTILLA Y LEÓN;8. Hurtos;enero-septiembre 2024;13.033
CASTILLA Y LEÓN;8. Hurtos;enero-septiembre 2025;13.200
CASTILLA Y LEÓN;8. Hurtos;Variación % 2025/2024;1,3
CASTILLA Y LEÓN;9. Sustracciones de vehículos;enero-septiembre 2024;416
CASTILLA Y LEÓN;9. Sustracciones de vehículos;enero-septiembre 2025;336
CASTILLA Y LEÓN;9. Sustracciones de vehículos;Variación % 2025/2024;-19,2
CASTILLA Y LEÓN;10. Tráfico de drogas;enero-septiembre 2024;317
CASTILLA Y LEÓN;10. Tráfico de drogas;enero-septiembre 2025;292
CASTILLA Y LEÓN;10. Tráfico de drogas;Variación % 2025/2024;-7,9
CASTILLA Y LEÓN;11. Resto de criminalidad convencional;enero-septiembre 2024;30.588
CASTILLA Y LEÓN;11. Resto de criminalidad convencional;enero-septiembre 2025;32.077
CASTILLA Y LEÓN;11. Resto de criminalidad convencional;Variación % 2025/2024;4,9
CASTILLA Y LEÓN;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-septiembre 2024;18.637
CASTILLA Y LEÓN;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-septiembre 2025;21.384
CASTILLA Y LEÓN;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);Variación % 2025/2024;14,7
CASTILLA Y LEÓN;12.-Estafas informáticas;enero-septiembre 2024;16.355
CASTILLA Y LEÓN;12.-Estafas informáticas;enero-septiembre 2025;18.716
CASTILLA Y LEÓN;12.-Estafas informáticas;Variación % 2025/2024;14,4
CASTILLA Y LEÓN;13.-Otros ciberdelitos;enero-septiembre 2024;2.282
CASTILLA Y LEÓN;13.-Otros ciberdelitos;enero-septiembre 2025;2.668
CASTILLA Y LEÓN;13.-Otros ciberdelitos;Variación % 2025/2024;16,9
CASTILLA Y LEÓN;III. TOTAL INFRACCIONES PENALES;enero-septiembre 2024;68.146
CASTILLA Y LEÓN;III. TOTAL INFRACCIONES PENALES;enero-septiembre 2025;72.278
CASTILLA Y LEÓN;III. TOTAL INFRACCIONES PENALES;Variación % 2025/2024;6,1
CASTILLA - LA MANCHA;I. CRIMINALIDAD CONVENCIONAL;enero-septiembre 2024;48.818
CASTILLA - LA MANCHA;I. CRIMINALIDAD CONVENCIONAL;enero-septiembre 2025;49.620
CASTILLA - LA MANCHA;I. CRIMINALIDAD CONVENCIONAL;Variación % 2025/2024;1,6
CASTILLA - LA MANCHA;1. Homicidios dolosos y asesinatos consumados;enero-septiembre 2024;11
CASTILLA - LA MANCHA;1. Homicidios dolosos y asesinatos consumados;enero-septiembre 2025;7
CASTILLA - LA MANCHA;1. Homicidios dolosos y asesinatos consumados;Variación % 2025/2024;-36,4
CASTILLA - LA MANCHA;2. Homicidios dolosos y asesinatos en grado tentativa;enero-septiembre 2024;41
CASTILLA - LA MANCHA;2. Homicidios dolosos y asesinatos en grado tentativa;enero-septiembre 2025;40
CASTILLA - LA MANCHA;2. Homicidios dolosos y asesinatos en grado tentativa;Variación % 2025/2024;-2,4
CASTILLA - LA MANCHA;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-septiembre 2024;897
CASTILLA - LA MANCHA;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-septiembre 2025;1.047
CASTILLA - LA MANCHA;3. Delitos graves y menos graves de lesiones y riña tumultuaria;Variación % 2025/2024;16,7
CASTILLA - LA MANCHA;4. Secuestro;enero-septiembre 2024;0
CASTILLA - LA MANCHA;4. Secuestro;enero-septiembre 2025;1
CASTILLA - LA MANCHA;4. Secuestro;Variación % 2025/2024;100,0
CASTILLA - LA MANCHA;5. Delitos contra la libertad sexual;enero-septiembre 2024;494
CASTILLA - LA MANCHA;5. Delitos contra la libertad sexual;enero-septiembre 2025;577
CASTILLA - LA MANCHA;5. Delitos contra la libertad sexual;Variación % 2025/2024;16,8
CASTILLA - LA MANCHA;5.1.-Agresión sexual con penetración;enero-septiembre 2024;92
CASTILLA - LA MANCHA;5.1.-Agresión sexual con penetración;enero-septiembre 2025;117
CASTILLA - LA MANCHA;5.1.-Agresión sexual con penetración;Variación % 2025/2024;27,2
CASTILLA - LA MANCHA;5.2.-Resto de delitos contra la libertad sexual;enero-septiembre 2024;402
CASTILLA - LA MANCHA;5.2.-Resto de delitos contra la libertad sexual;enero-septiembre 2025;460
CASTILLA - LA MANCHA;5.2.-Resto de delitos contra la libertad sexual;Variación % 2025/2024;14,4
CASTILLA - LA MANCHA;6. Robos con violencia e intimidación;enero-septiembre 2024;721
CASTILLA - LA MANCHA;6. Robos con violencia e intimidación;enero-septiembre 2025;677
CASTILLA - LA MANCHA;6. Robos con violencia e intimidación;Variación % 2025/2024;-6,1
CASTILLA - LA MANCHA;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-septiembre 2024;3.711
CASTILLA - LA MANCHA;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-septiembre 2025;3.131
CASTILLA - LA MANCHA;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;Variación % 2025/2024;-15,6
CASTILLA - LA MANCHA;7.1.-Robos con fuerza en domicilios;enero-septiembre 2024;2.620
CASTILLA - LA MANCHA;7.1.-Robos con fuerza en domicilios;enero-septiembre 2025;2.119
CASTILLA - LA MANCHA;7.1.-Robos con fuerza en domicilios;Variación % 2025/2024;-19,1
CASTILLA - LA MANCHA;8. Hurtos;enero-septiembre 2024;10.684
CASTILLA - LA MANCHA;8. Hurtos;enero-septiembre 2025;10.581
CASTILLA - LA MANCHA;8. Hurtos;Variación % 2025/2024;-1,0
CASTILLA - LA MANCHA;9. Sustracciones de vehículos;enero-septiembre 2024;537
CASTILLA - LA MANCHA;9. Sustracciones de vehículos;enero-septiembre 2025;534
CASTILLA - LA MANCHA;9. Sustracciones de vehículos;Variación % 2025/2024;-0,6
CASTILLA - LA MANCHA;10. Tráfico de drogas;enero-septiembre 2024;427
CASTILLA - LA MANCHA;10. Tráfico de drogas;enero-septiembre 2025;365
CASTILLA - LA MANCHA;10. Tráfico de drogas;Variación % 2025/2024;-14,5
CASTILLA - LA MANCHA;11. Resto de criminalidad convencional;enero-septiembre 2024;31.295
CASTILLA - LA MANCHA;11. Resto de criminalidad convencional;enero-septiembre 2025;32.660
CASTILLA - LA MANCHA;11. Resto de criminalidad convencional;Variación % 2025/2024;4,4
CASTILLA - LA MANCHA;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-septiembre 2024;13.244
CASTILLA - LA MANCHA;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-septiembre 2025;15.620
CASTILLA - LA MANCHA;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);Variación % 2025/2024;17,9
CASTILLA - LA MANCHA;12.-Estafas informáticas;enero-septiembre 2024;11.645
CASTILLA - LA MANCHA;12.-Estafas informáticas;enero-septiembre 2025;13.703
CASTILLA - LA MANCHA;12.-Estafas informáticas;Variación % 2025/2024;17,7
CASTILLA - LA MANCHA;13.-Otros ciberdelitos;enero-septiembre 2024;1.599
CASTILLA - LA MANCHA;13.-Otros ciberdelitos;enero-septiembre 2025;1.917
CASTILLA - LA MANCHA;13.-Otros ciberdelitos;Variación % 2025/2024;19,9
CASTILLA - LA MANCHA;III. TOTAL INFRACCIONES PENALES;enero-septiembre 2024;62.062
CASTILLA - LA MANCHA;III. TOTAL INFRACCIONES PENALES;enero-septiembre 2025;65.240
CASTILLA - LA MANCHA;III. TOTAL INFRACCIONES PENALES;Variación % 2025/2024;5,1
CATALUÑA;I. CRIMINALIDAD CONVENCIONAL;enero-septiembre 2024;327.914
CATALUÑA;I. CRIMINALIDAD CONVENCIONAL;enero-septiembre 2025;319.929
CATALUÑA;I. CRIMINALIDAD CONVENCIONAL;Variación % 2025/2024;-2,4
CATALUÑA;1. Homicidios dolosos y asesinatos consumados;enero-septiembre 2024;59
CATALUÑA;1. Homicidios dolosos y asesinatos consumados;enero-septiembre 2025;44
CATALUÑA;1. Homicidios dolosos y asesinatos consumados;Variación % 2025/2024;-25,4
CATALUÑA;2. Homicidios dolosos y asesinatos en grado tentativa;enero-septiembre 2024;220
CATALUÑA;2. Homicidios dolosos y asesinatos en grado tentativa;enero-septiembre 2025;217
CATALUÑA;2. Homicidios dolosos y asesinatos en grado tentativa;Variación % 2025/2024;-1,4
CATALUÑA;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-septiembre 2024;3.256
CATALUÑA;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-septiembre 2025;3.186
CATALUÑA;3. Delitos graves y menos graves de lesiones y riña tumultuaria;Variación % 2025/2024;-2,1
CATALUÑA;4. Secuestro;enero-septiembre 2024;9
CATALUÑA;4. Secuestro;enero-septiembre 2025;10
CATALUÑA;4. Secuestro;Variación % 2025/2024;11,1
CATALUÑA;5. Delitos contra la libertad sexual;enero-septiembre 2024;3.304
CATALUÑA;5. Delitos contra la libertad sexual;enero-septiembre 2025;3.578
CATALUÑA;5. Delitos contra la libertad sexual;Variación % 2025/2024;8,3
CATALUÑA;5.1.-Agresión sexual con penetración;enero-septiembre 2024;1.281
CATALUÑA;5.1.-Agresión sexual con penetración;enero-septiembre 2025;1.394
CATALUÑA;5.1.-Agresión sexual con penetración;Variación % 2025/2024;8,8
CATALUÑA;5.2.-Resto de delitos contra la libertad sexual;enero-septiembre 2024;2.023
CATALUÑA;5.2.-Resto de delitos contra la libertad sexual;enero-septiembre 2025;2.184
CATALUÑA;5.2.-Resto de delitos contra la libertad sexual;Variación % 2025/2024;8,0
CATALUÑA;6. Robos con violencia e intimidación;enero-septiembre 2024;18.563
CATALUÑA;6. Robos con violencia e intimidación;enero-septiembre 2025;18.820
CATALUÑA;6. Robos con violencia e intimidación;Variación % 2025/2024;1,4
CATALUÑA;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-septiembre 2024;19.210
CATALUÑA;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-septiembre 2025;16.663
CATALUÑA;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;Variación % 2025/2024;-13,3
CATALUÑA;7.1.-Robos con fuerza en domicilios;enero-septiembre 2024;13.100
CATALUÑA;7.1.-Robos con fuerza en domicilios;enero-septiembre 2025;11.579
CATALUÑA;7.1.-Robos con fuerza en domicilios;Variación % 2025/2024;-11,6
CATALUÑA;8. Hurtos;enero-septiembre 2024;126.926
CATALUÑA;8. Hurtos;enero-septiembre 2025;123.324
CATALUÑA;8. Hurtos;Variación % 2025/2024;-2,8
CATALUÑA;9. Sustracciones de vehículos;enero-septiembre 2024;6.410
CATALUÑA;9. Sustracciones de vehículos;enero-septiembre 2025;6.433
CATALUÑA;9. Sustracciones de vehículos;Variación % 2025/2024;0,4
CATALUÑA;10. Tráfico de drogas;enero-septiembre 2024;3.531
CATALUÑA;10. Tráfico de drogas;enero-septiembre 2025;3.989
CATALUÑA;10. Tráfico de drogas;Variación % 2025/2024;13,0
CATALUÑA;11. Resto de criminalidad convencional;enero-septiembre 2024;146.426
CATALUÑA;11. Resto de criminalidad convencional;enero-septiembre 2025;143.665
CATALUÑA;11. Resto de criminalidad convencional;Variación % 2025/2024;-1,9
CATALUÑA;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-septiembre 2024;58.405
CATALUÑA;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-septiembre 2025;55.484
CATALUÑA;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);Variación % 2025/2024;-5,0
CATALUÑA;12.-Estafas informáticas;enero-septiembre 2024;55.258
CATALUÑA;12.-Estafas informáticas;enero-septiembre 2025;51.572
CATALUÑA;12.-Estafas informáticas;Variación % 2025/2024;-6,7
CATALUÑA;13.-Otros ciberdelitos;enero-septiembre 2024;3.147
CATALUÑA;13.-Otros ciberdelitos;enero-septiembre 2025;3.912
CATALUÑA;13.-Otros ciberdelitos;Variación % 2025/2024;24,3
CATALUÑA;III. TOTAL INFRACCIONES PENALES;enero-septiembre 2024;386.319
CATALUÑA;III. TOTAL INFRACCIONES PENALES;enero-septiembre 2025;375.413
CATALUÑA;III. TOTAL INFRACCIONES PENALES;Variación % 2025/2024;-2,8
COMUNITAT VALENCIANA;I. CRIMINALIDAD CONVENCIONAL;enero-septiembre 2024;182.629
COMUNITAT VALENCIANA;I. CRIMINALIDAD CONVENCIONAL;enero-septiembre 2025;180.658
COMUNITAT VALENCIANA;I. CRIMINALIDAD CONVENCIONAL;Variación % 2025/2024;-1,1
COMUNITAT VALENCIANA;1. Homicidios dolosos y asesinatos consumados;enero-septiembre 2024;46
COMUNITAT VALENCIANA;1. Homicidios dolosos y asesinatos consumados;enero-septiembre 2025;31
COMUNITAT VALENCIANA;1. Homicidios dolosos y asesinatos consumados;Variación % 2025/2024;-32,6
COMUNITAT VALENCIANA;2. Homicidios dolosos y asesinatos en grado tentativa;enero-septiembre 2024;108
COMUNITAT VALENCIANA;2. Homicidios dolosos y asesinatos en grado tentativa;enero-septiembre 2025;136
COMUNITAT VALENCIANA;2. Homicidios dolosos y asesinatos en grado tentativa;Variación % 2025/2024;25,9
COMUNITAT VALENCIANA;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-septiembre 2024;2.828
COMUNITAT VALENCIANA;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-septiembre 2025;3.043
COMUNITAT VALENCIANA;3. Delitos graves y menos graves de lesiones y riña tumultuaria;Variación % 2025/2024;7,6
COMUNITAT VALENCIANA;4. Secuestro;enero-septiembre 2024;10
COMUNITAT VALENCIANA;4. Secuestro;enero-septiembre 2025;9
COMUNITAT VALENCIANA;4. Secuestro;Variación % 2025/2024;-10,0
COMUNITAT VALENCIANA;5. Delitos contra la libertad sexual;enero-septiembre 2024;1.925
COMUNITAT VALENCIANA;5. Delitos contra la libertad sexual;enero-septiembre 2025;2.062
COMUNITAT VALENCIANA;5. Delitos contra la libertad sexual;Variación % 2025/2024;7,1
COMUNITAT VALENCIANA;5.1.-Agresión sexual con penetración;enero-septiembre 2024;416
COMUNITAT VALENCIANA;5.1.-Agresión sexual con penetración;enero-septiembre 2025;441
COMUNITAT VALENCIANA;5.1.-Agresión sexual con penetración;Variación % 2025/2024;6,0
COMUNITAT VALENCIANA;5.2.-Resto de delitos contra la libertad sexual;enero-septiembre 2024;1.509
COMUNITAT VALENCIANA;5.2.-Resto de delitos contra la libertad sexual;enero-septiembre 2025;1.621
COMUNITAT VALENCIANA;5.2.-Resto de delitos contra la libertad sexual;Variación % 2025/2024;7,4
COMUNITAT VALENCIANA;6. Robos con violencia e intimidación;enero-septiembre 2024;4.803
COMUNITAT VALENCIANA;6. Robos con violencia e intimidación;enero-septiembre 2025;4.704
COMUNITAT VALENCIANA;6. Robos con violencia e intimidación;Variación % 2025/2024;-2,1
COMUNITAT VALENCIANA;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-septiembre 2024;13.459
COMUNITAT VALENCIANA;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-septiembre 2025;12.665
COMUNITAT VALENCIANA;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;Variación % 2025/2024;-5,9
COMUNITAT VALENCIANA;7.1.-Robos con fuerza en domicilios;enero-septiembre 2024;10.839
COMUNITAT VALENCIANA;7.1.-Robos con fuerza en domicilios;enero-septiembre 2025;10.166
COMUNITAT VALENCIANA;7.1.-Robos con fuerza en domicilios;Variación % 2025/2024;-6,2
COMUNITAT VALENCIANA;8. Hurtos;enero-septiembre 2024;57.342
COMUNITAT VALENCIANA;8. Hurtos;enero-septiembre 2025;57.209
COMUNITAT VALENCIANA;8. Hurtos;Variación % 2025/2024;-0,2
COMUNITAT VALENCIANA;9. Sustracciones de vehículos;enero-septiembre 2024;2.427
COMUNITAT VALENCIANA;9. Sustracciones de vehículos;enero-septiembre 2025;2.541
COMUNITAT VALENCIANA;9. Sustracciones de vehículos;Variación % 2025/2024;4,7
COMUNITAT VALENCIANA;10. Tráfico de drogas;enero-septiembre 2024;2.123
COMUNITAT VALENCIANA;10. Tráfico de drogas;enero-septiembre 2025;2.078
COMUNITAT VALENCIANA;10. Tráfico de drogas;Variación % 2025/2024;-2,1
COMUNITAT VALENCIANA;11. Resto de criminalidad convencional;enero-septiembre 2024;97.558
COMUNITAT VALENCIANA;11. Resto de criminalidad convencional;enero-septiembre 2025;96.180
COMUNITAT VALENCIANA;11. Resto de criminalidad convencional;Variación % 2025/2024;-1,4
COMUNITAT VALENCIANA;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-septiembre 2024;34.785
COMUNITAT VALENCIANA;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-septiembre 2025;41.804
COMUNITAT VALENCIANA;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);Variación % 2025/2024;20,2
COMUNITAT VALENCIANA;12.-Estafas informáticas;enero-septiembre 2024;30.355
COMUNITAT VALENCIANA;12.-Estafas informáticas;enero-septiembre 2025;36.353
COMUNITAT VALENCIANA;12.-Estafas informáticas;Variación % 2025/2024;19,8
COMUNITAT VALENCIANA;13.-Otros ciberdelitos;enero-septiembre 2024;4.430
COMUNITAT VALENCIANA;13.-Otros ciberdelitos;enero-septiembre 2025;5.451
